Ticket Type,Ticket Subject,Ticket Description,Resolution,Ticket Priority,Customer Satisfaction Rating
Cancellation request,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

2. How do I return your order?

You'll receive an email regarding your order within 5 business days.

Your name, telephone number I'm worried that the issue might be hardware-related and might require repair or replacement.",Seek evidence book collection catch.,High,1
Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist. I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,High,3
Cancellation request,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Product Name: Product $100-$250:

Product ID: (optional)


Please email when you receive:

{Product ID} I need assistance as soon as possible because it's affecting my work and productivity.",Seek evidence book collection catch.,High,3
Refund request,Account access,"I'm having an issue with the {product_purchased}. Please assist.

Please note this is a one off but you can always donate once you receive a voucher.

Thank you. I've checked for software updates, and my {product_purchased} is already running the latest version.",Seek evidence book collection catch.,High,4
Cancellation request,Data loss,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution? Thanks!

2. Does this bug affect the user's version number? I've checked the device settings and made sure that everything is configured correctly.",Seek evidence book collection catch.,High,5
Technical issue,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

Sorry about the quantity you choose.

Sorry, the promotional code you entered has been claimed.

The payment was cancelled.

The payment I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Seek evidence book collection catch.,Critical,4
Billing inquiry,Installation support,I'm having an issue with the {product_purchased}. Please assist. It's a new system which is broken. Try the same thing with e-cigarettes but make them as easy as possible and don't ask me for anything less. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.,Seek evidence book collection catch.,Critical,3
Technical issue,Network problem,"I'm having an issue with the {product_purchased}. Please assist. {{product_id}}

This item is not currently for sale.

Please visit this item's page to see how it became available


Vault I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,Medium,1
Product inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

You may be a subscriber at no cost to get this service.

* You may download this item's content

* You may cancel this offer I've already contacted customer support multiple times, but the issue remains unresolved.",Seek evidence book collection catch.,High,1
Cancellation request,Refund request,"I'm having an issue with the {product_purchased}. Please assist. My computer, with the information from the sales manual can answer all questions and send out recommendations/suggestions to the customer. The only question I don't like being I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Seek evidence book collection catch.,Critical,4
Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist. There is no refund for this product at this time. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,Critical,2
Product inquiry,Account access,"I'm having an issue with the {product_purchased}. Please assist. If you can't or don't see the product of the type you can't find elsewhere, this issue will be closed.

Product ID

product Name I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,High,5
Product inquiry,Battery life,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?

Solution

1 I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Seek evidence book collection catch.,High,1
Billing inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist. Sorry if this is a problem. Please use your normal tools, such as those you purchased directly from the store.

This is not a refund

Yes I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,Critical,1
Billing inquiry,Software bug,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

There are This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Critical,4
Product inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

Product information is for illustrative purposes only. Actual product functionality may vary.

Product prices do not represent the actual cost of the product. I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Seek evidence book collection catch.,Critical,2
Refund request,Installation support,"I'm having an issue with the {product_purchased}. Please assist..

. Please help me find the correct way to do the correct thing. Please, I am very frustrated by these issues. Please, make sure you are I need assistance as soon as possible because it's affecting my work and productivity.",Seek evidence book collection catch.,Medium,4
Technical issue,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. (If you use the device in a work area, you might have to use ""force to unpack items on the device while in the work areas."") Your app I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Seek evidence book collection catch.,High,4
Refund request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist.

If you've already purchased an item, that items is still available through the retailer's website. For further information on how to find an item that was already This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Medium,5
Product inquiry,Data loss,"I'm having an issue with the {product_purchased}. Please assist.

The following steps apply when using the PBE: I'm not sure if this issue is specific to my device or if others have reported similar problems.",Seek evidence book collection catch.,Medium,4
Cancellation request,Refund request,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. It's time to call up another software engineer I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Seek evidence book collection catch.,Critical,1
Product inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

Please provide feedback and see our products in our support channel at https://go.com/SCE-2.


Purchases from the Product I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,Medium,1
Refund request,Payment issue,"I'm having an issue with the {product_purchased}. Please assist.


[10:17]


Well, thanks so much for making you comfortable now. It's been a while since I've taken your orders. I've already contacted customer support multiple times, but the issue remains unresolved.",Seek evidence book collection catch.,Medium,4
Product inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist.

Thanks for your patience! In the meantime you can check your e-mail, Google+ or Telegram.

Thanks for reading. I've checked for software updates, and my {product_purchased} is already running the latest version.",Seek evidence book collection catch.,High,5
Technical issue,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

""

:

name

"" :

user_name

""

"" [name] ""

"" [name I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Seek evidence book collection catch.,Critical,5
Refund request,Data loss,"I'm having an issue with the {product_purchased}. Please assist.

Product Description

This is a large black T.Rex that was painted over the top of a pile of wood.

Here's what you'll I'm worried that the issue might be hardware-related and might require repair or replacement.",Seek evidence book collection catch.,High,5
Cancellation request,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

We're sorry, this product is out of stock! We'll contact you to see when we can stock it at your location. I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Seek evidence book collection catch.,High,2
Cancellation request,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

# # if!defined(SHIP_STORE_IN_SOCKET)

# let

# # # pch_buy I've checked for any available software updates for my {product_purchased}, but there are none.",Seek evidence book collection catch.,High,5
Cancellation request,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. #g3h7lf0 @1e9e9b9 f2f6dbb8 <http://www.dropbox.com/ I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Seek evidence book collection catch.,Critical,1
Product inquiry,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

2.5.2 This app requires JavaScript to be installed on your device.


The site uses cookies to provide you with custom features like navigation, I've checked for software updates, and my {product_purchased} is already running the latest version.",Seek evidence book collection catch.,Critical,5
Refund request,Product recommendation,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

How to I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,High,4
Technical issue,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist.

The first thing you need to do when upgrading a product is to update your repository.

git is a git remote that comes with everything you need to This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Critical,5
Refund request,Peripheral compatibility,"I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently. When you log onto your account and see the log messages, is this just something you did once or I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,High,1
Refund request,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

This is an emergency product.

This product is incorrect.

Your purchase is not complete. Check your order information in the ""Contact Us"" I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Seek evidence book collection catch.,Critical,5
Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

[16:38] <mf2r-2> the whole site still is very much owned by the same people [16:39] < I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Seek evidence book collection catch.,High,3
Billing inquiry,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. I got a lot of inquiries, and now we can't figure out the right product for your family. I've been trying in vain to reach my company to be I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,Critical,2
Product inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

To make changes to your shipping address, please make the following changes: <address_shorten>. For a specific shipping address (more than 18 months), I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,Medium,1
Refund request,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

- An ad-supported page has not been approved to work. Any additional ad-supported pages will be rejected.

4. When you add a I've checked for any available software updates for my {product_purchased}, but there are none.",Seek evidence book collection catch.,Critical,2
Technical issue,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the Product_Purchase. Please assist.

I'm having an issue with the Product_Purchase. Please assist. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Seek evidence book collection catch.,Medium,2
Cancellation request,Product setup,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution?

Thanks in advance,

Zoltan van Winkle I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Seek evidence book collection catch.,Medium,1
Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. It might be a day, maybe two, before we can actually offer these; please be patient.""

""No, we cannot,"" I said. ""I I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,High,2
Product inquiry,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

Click on the product name and select ""Add To Cart"".


Your Wish List is here I need assistance as soon as possible because it's affecting my work and productivity.",Seek evidence book collection catch.,Critical,2
Cancellation request,Installation support,"I'm having an issue with the {product_purchased}. Please assist. If not, please contact me.

Note that this product is not recommended for pregnant women whose pregnancies are likely to occur at or between the ages of 6 weeks I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Seek evidence book collection catch.,Medium,5
Technical issue,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

You can set the price of the products you're purchasing by clicking here.

If the price on this page is under $16, your order will I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Seek evidence book collection catch.,Critical,5
Product inquiry,Product compatibility,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do?

I have two choices. I can use the keyboard, or I can I need assistance as soon as possible because it's affecting my work and productivity.",Seek evidence book collection catch.,Critical,3
Billing inquiry,Data loss,"I'm having an issue with the {product_purchased}. Please assist.

5. Please fill out the following form.

6. The name and contact information for the retailer must match the information on the package. I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Seek evidence book collection catch.,Critical,4
Cancellation request,Product compatibility,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? A few years ago, we received something called the $10.0 I've checked the device settings and made sure that everything is configured correctly.",Seek evidence book collection catch.,Medium,1
Product inquiry,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

[00:00:19] [Spigot Watchdog Thread/ERROR]: Error while reading $f in function'make':

[00 I need assistance as soon as possible because it's affecting my work and productivity.",Seek evidence book collection catch.,Critical,1
Refund request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. Also, please send me the name and details of product you already purchased, as you did (my shipping info here).

The only way to ensure that the I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Seek evidence book collection catch.,High,5
Cancellation request,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.

I didn't see another product I wanted from this store the other day with a bad price, so I contacted the seller and told them about my problem. I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Seek evidence book collection catch.,High,3
Technical issue,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the {product_purchased}. Please assist. Please inform that the {product_purchased}. will be delivered I'm worried that the issue might be hardware-related and might require repair or replacement.",Seek evidence book collection catch.,Critical,3
Technical issue,Payment issue,"I'm having an issue with the {product_purchased}. Please assist.

Product Name : B-30B-SLS 1 3T 5.6Ghz (CAS #5C-4539-3-1 I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Seek evidence book collection catch.,Medium,3
Refund request,Account access,"I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently. Can only make requests to my own servers for data on this one.

Is there a solution I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Seek evidence book collection catch.,Medium,2
Refund request,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

0 3/4/2016 17:57:11 0.0.0.1: Failed to download $1 in store. (1.0 I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Seek evidence book collection catch.,Medium,3
Refund request,Account access,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Please use as much care and diligence as I can. Thanks,

I I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Seek evidence book collection catch.,Critical,2
Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Product: $6.49 / 10

Available in 2 colors, 2 colors only:

New

Pilot

A new feature I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Seek evidence book collection catch.,Medium,2
Billing inquiry,Installation support,I'm having an issue with the {product_purchased}. Please assist. </a> <cached_message></cached_message> </card> </object.properties> — This method is deprecated — it's not supported. I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?,Seek evidence book collection catch.,High,5
Technical issue,Refund request,I'm having an issue with the {product_purchased}. Please assist. #1: https://forum.gamefaqs.com/boards/266567-new-fifa-new-swim-games/613 I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?,Seek evidence book collection catch.,High,3
Product inquiry,Cancellation request,"The {product_purchased} is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem?

If your router has more than four IP addresses configured around your router, I've already contacted customer support multiple times, but the issue remains unresolved.",Seek evidence book collection catch.,Critical,5
Billing inquiry,Software bug,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do? This could mean that something is wrong, or the hardware needs to be changed. I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Seek evidence book collection catch.,High,1
Refund request,Battery life,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

Try the following things:

Uninstall and reinstall the I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,Medium,3
Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks! Thank you!

Rated 5 out of 5 by Anonymous from Awesome product Love this purchase! I've bought multiple different sizes of the same pair and have I've checked for any available software updates for my {product_purchased}, but there are none.",Seek evidence book collection catch.,Critical,1
Product inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

C:\Windows\System32\mscms.dll

Driver Version: 14.17.0025.17 (English)

Driver Attributes I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,Medium,2
Product inquiry,Battery life,"I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them?

The best news is there are always some good backup services before I've checked for software updates, and my {product_purchased} is already running the latest version.",Seek evidence book collection catch.,Medium,4
Technical issue,Display issue,"I'm having an issue with the {product_purchased}. Please assist.

You received an email with the {product_purchased} Product ID and the {product_purchased} Product Name fields. Please assist. I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Seek evidence book collection catch.,Critical,2
Billing inquiry,Software bug,"I'm having an issue with the {product_purchased}. Please assist. I'm having an issue with the {product_purchased}. Please assist.

I'm having an issue with the {product_purchased}. I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,High,4
Refund request,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. Thank you for being active in my community.

User Info: MecheMeche MecheMeche 1 year ago #4 We also I've checked for software updates, and my {product_purchased} is already running the latest version.",Seek evidence book collection catch.,High,1
Refund request,Software bug,"I'm having an issue with the {product_purchased}. Please assist. The customer will have 30 days to correct the error. If this item fails you should contact the Customer Service Center where you can submit a refund. This refund will not I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,High,5
Billing inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

Cordless Wireless and Bluetooth 2.0 / Bluetooth High Quality (also known as QRM or QBUN) are the two most expensive Bluetooth accessories I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Seek evidence book collection catch.,Critical,2
Product inquiry,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Note: These items cannot be shipped to the United States, the District of Columbia, or Puerto Rico. Orders may be shipped by land, air, or I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,High,2
Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

The product_purchased.com account ID number is located on a hard drive in the same location as the name.

The product_p I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Seek evidence book collection catch.,High,5
Technical issue,Hardware issue,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue?

1) Use https://github.com/Watson/QT, I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,Medium,1
Billing inquiry,Display issue,"I'm having an issue with the {product_purchased}. Please assist. Please help! Thanks! I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Seek evidence book collection catch.,Critical,2
Technical issue,Refund request,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? The following methods are I've checked for any available software updates for my {product_purchased}, but there are none.",Seek evidence book collection catch.,High,5
Cancellation request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist.

You must login to add comments. I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,High,2
Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist.

Please email {product_purchased} back to :

(The product_purchased_product is a private message)

For I've checked the device settings and made sure that everything is configured correctly.",Seek evidence book collection catch.,Critical,1
Billing inquiry,Refund request,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do?

$ sudo systemctl enable display-sync -A -A /usr I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Seek evidence book collection catch.,Medium,1
Billing inquiry,Battery life,"I'm having an issue with the {product_purchased}. Please assist. Thanks. #{product_purchased} {1} We've received a message claiming to be from an individual here, but we are unable to confirm who I've already contacted customer support multiple times, but the issue remains unresolved.",Seek evidence book collection catch.,Critical,1
Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist.

There is a long chain of complaints about this. It's very common as an Android distribution so the root user can run a command line application that displays the I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Seek evidence book collection catch.,Critical,3
Billing inquiry,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

Thank You. I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Seek evidence book collection catch.,High,2
Cancellation request,Hardware issue,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do?


If this is a major issue, we've got to come up with I've checked for any available software updates for my {product_purchased}, but there are none.",Seek evidence book collection catch.,Medium,2
Product inquiry,Hardware issue,"I've noticed a software bug in the {product_purchased} app. It's causing data loss and unexpected errors. How can I resolve this issue?

There are three ways. Please try all your options before deciding to disable the This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Critical,4
Cancellation request,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

It does not work on devices where you can't find a single product in the cart. Please report it to [email protected] or email us at support I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Seek evidence book collection catch.,Critical,1
Refund request,Refund request,"I'm having an issue with the {product_purchased}. Please assist.

- ""Your brand is at risk.""

- ""I may not think what I'm trying to say was true, but my marketing strategy is to I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,High,1
Product inquiry,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. I've received the message. Could not retrieve the information from the product purchase page. Please assist in accessing my information. If this is the case, please contact Customer I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Seek evidence book collection catch.,Critical,4
Refund request,Data loss,"There seems to be a glitch in the {product_purchased} software. It freezes frequently, making it difficult to use. Can you please provide a solution? Thanks :)

Thanks for your help, G.T @ xdram I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Seek evidence book collection catch.,Medium,5
Billing inquiry,Network problem,"I'm having an issue with the {product_purchased}. Please assist. [25/12/2014, 11:18:10 PM] Remy: And I'm not asking for money to pay for the car. [25/12 This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Critical,4
Billing inquiry,Account access,"I'm facing a problem with my {product_purchased}. The {product_purchased} is not turning on. It was working fine until yesterday, but now it doesn't respond. No update of the product.

The I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Seek evidence book collection catch.,High,4
Product inquiry,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.


<div>

<p><strong>No. Product Purchased: No


<strong>Price Paid: $9.99 I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Seek evidence book collection catch.,Critical,2
Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist.

The '#refresh' setting was not found on this specific product. The product information is not currently available. Please check your product details before purchasing. I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Seek evidence book collection catch.,Medium,5
Refund request,Account access,"I'm having an issue with the {product_purchased}. Please assist.

""The {product_purchased} is from an ad agency. We're not responsible for the item you bought without your consent, and we'll This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Medium,3
Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

{Product_Purchased_0}{Product_Purchased_1}{Product.AddToCart}

{Product_Purchase_1 This problem started occurring after the recent software update. I haven't made any other changes to the device.",Seek evidence book collection catch.,Critical,2
Cancellation request,Display issue,"I'm having an issue with the {product_purchased}. Please assist.

Your request will be honored.

(8) The information displayed in this newsletter is not intended for commercial purposes. If you send by mail any commercial I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Seek evidence book collection catch.,Critical,4
Product inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist.

If something doesn't work then try contacting us at info@cbc.ca or go to your local store.

If you're so inclined click I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,High,2
Refund request,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist. I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Seek evidence book collection catch.,Medium,2
Refund request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist.

It seems from this screenshot that we can test the same feature with this:

$ curl https://gist.github.com/brianke I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Seek evidence book collection catch.,Critical,4
Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist. Please contact me.""

It's no secret that this has really caught the attention of the company that sold the OnePlus 2, but according to many reviewers at the I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Seek evidence book collection catch.,Critical,3
Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. I did manage to get a refund for my case of {product_ Moto 360 (R/U)}. And now you can get the deal. I apologize for I've already contacted customer support multiple times, but the issue remains unresolved.",Seek evidence book collection catch.,High,1
Cancellation request,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist. Thanks!} @id_nol_david

14 4/22/2015 11:03:33 19-20 Female Straight Men 4 $200 I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?",Seek evidence book collection catch.,High,1
Technical issue,Payment issue,I'm having an issue with the {product_purchased}. Please assist. - This can make this issue disappear after 3 days (due to the time limit) - I have a small number of items that I want to trade that I am I need assistance as soon as possible because it's affecting my work and productivity.,Seek evidence book collection catch.,High,1
Technical issue,Account access,"There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do? I was hoping that I could use it with Firefox and this isn't it. I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Seek evidence book collection catch.,High,4
Product inquiry,Display issue,"I'm having an issue with the {product_purchased}. Please assist. <http://www.giantalabaster.com/product/d5df3bb927e4f8acc6dc29a89 I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Seek evidence book collection catch.,Medium,5
Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist. Please help. We're not looking for a customer for the order, we are providing your service to get your order done. Your orders are not part of the product I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Seek evidence book collection catch.,Medium,4
Billing inquiry,Payment issue,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

You can I've noticed a sudden decrease in battery life on my {product_purchased}. It used to last much longer.",Seek evidence book collection catch.,Critical,4
Product inquiry,Display issue,"I'm having an issue with the {product_purchased}. Please assist.

• If you have bought in the past to add:

– 1,000 coins (as of 1 October 2017)


Your current payment is I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Seek evidence book collection catch.,High,3
Refund request,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

If it's the product that you're looking for, please update the purchase.

We will make sure you update the order page or you will see I've tried troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,Medium,3
Technical issue,Refund request,I'm having an issue with the {product_purchased}. Please assist. This problem started occurring after the recent software update. I haven't made any other changes to the device.,Seek evidence book collection catch.,Medium,2
Refund request,Product recommendation,"I'm having an issue with the {product_purchased}. Please assist.

Please remove my previous orders from the site.

Please contact me with any further questions.

If you want to submit new orders via email I I've checked for software updates, and my {product_purchased} is already running the latest version.",Seek evidence book collection catch.,Critical,3
Product inquiry,Data loss,"I'm having an issue with the {product_purchased}. Please assist.

I'll be happy to answer any questions you may have. My apologies if my question is too narrow, please check out my site and see if you feel I need assistance as soon as possible because it's affecting my work and productivity.",Seek evidence book collection catch.,Critical,5
Refund request,Product setup,"I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them? Thanks. I've followed the troubleshooting steps mentioned in the user manual, but the issue persists.",Seek evidence book collection catch.,Medium,1
Product inquiry,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. We're trying to help you understand.

It is important: As soon as you receive the item that you purchased, you must re-sell the new item The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Seek evidence book collection catch.,Medium,4
